,trackName,Punctuation,User
153,I Want U 2 Vant Me,5,0
154,Middle Finger Response (Demo),5,0
155,Linoleum,5,0
157,Dig,4,0
158,Dig,4,0
163,Perfect Government,4,0
164,The Brews,5,0
165,The Quass,5,0
166,Dying Degree,5,0
167,Fleas,5,0
169,Jeff Wears Birkenstocks,5,0
170,Punk Guy,5,0
171,Happy Guy,4,0
172,... And The Cheese Fell Down,5,0
173,Better Off Today,5,0
174,Use A Bee,5,0
175,Ketty,5,0
176,Hero Of Our Time,5,0
177,Before It s Too Late,5,0
179,Armless Skater,5,0
180,Puppet,5,0
186,Better Off Today,5,0
192,Before It s Too Late,5,0
201,Better Off Today,5,0
205,Hero Of Our Time,5,0
206,Before It s Too Late,5,0
208,Armless Skater,5,0
211,Good Morning,5,0
213,Evil,4,0
214,Anti-Manifesto,5,0
216,"Hate, Myth, Muscle, Etiquette",5,0
217,Showdown (G.E./P.),5,0
232,"Hate, Myth, Muscle, Etiquette (Demo)",4,0
235,Anti-Manifesto,5,0
237,"Hate, Myth, Muscle, Etiquette",5,0
238,Showdown (G.E./P.),5,0
239,Ska Sucks,5,0
240,Middle Finger Response,5,0
241,"Stick the Fucking Flag up Your Goddamn Ass, You Sonofabitch",5,0
242,"Haille Sellasse, Up Your Ass",5,0
243,Fuck Machine,5,0
244,This Might Be Satire,5,0
245,Who Will Help Me Bake This Bread?,5,0
247,Homophobes Are Just Pissed  Cause They Can t Get Laid,5,0
250,Middle Finger Response (Demo),5,0
257,Zorra - Remix,3,0
259,Alocao (With Bad Gyal),3,0
264,"Hate, Myth, Muscle, Etiquette",5,0
266,Ska Sucks,5,0
268,"Stick the Fucking Flag up Your Goddamn Ass, You Sonofabitch",5,0
276,I Want U 2 Vant Me,5,0
277,Middle Finger Response (Demo),5,0
278,"Hate, Myth, Muscle, Etiquette (Demo)",4,0
280,Blin Blin,3,0
282,Fiebre (Prod. King DouDou),3,0
283,The Separation of Church and Skate,5,0
284,The Irrationality of Rationality,4,0
285,Franco Un-American,5,0
287,She s Nubs,4,0
289,Decom-Poseur,4,0
290,Medio-Core,4,0
292,American Errorist (I Hate Hate Haters),4,0
293,We Got Two Jealous Agains,4,0
295,Re-Gaining Unconsciousness,4,0
296,"Whoops, I Od d",4,0
298,21st Century (Digital Boy),5,0
299,Suburban Home,5,0
300,... And The Cheese Fell Down,5,0
301,Better Off Today,5,0
302,Use A Bee,5,0
303,Ketty,5,0
305,Before It s Too Late,5,0
306,The Treaty And The Bridge,5,0
307,Armless Skater,5,0
308,Puppet,5,0
309,Got To Throw Up,5,0
310,Good Morning,5,0
312,Evil,4,0
314,Peaceful Day,5,0
315,Anti-Manifesto,5,0
316,Ordinary,3,0
318,Old Man,4,0
322,Perfect People,5,0
323,You ve Done Nothing,4,0
327,"Haille Sellasse, Up Your Ass",5,0
328,Waste of Time,5,0
329,The Treaty And The Bridge,5,0
332,21st Century (Digital Boy),5,0
333,You,5,0
335,Punk Rock Song,5,0
337,Los Angeles Is Burning,5,0
338,No Control,5,0
340,I Want to Conquer the World,5,0
341,Introduction - Live 1993,3,0
345,Robin Hood in Reverse,4,0
347,Fuck You,5,0
348,Dharma and the Bomb,4,0
351,In Their Hearts is Right,4,0
353,Dept. of False Hope,5,0
354,Nothing To Dismay,4,0
357,The Island,4,0
359,American Jesus,5,0
364,Sorrow,4,0
365,Los Angeles Is Burning,5,0
366,No Control,5,0
367,Fuck You,5,0
368,I Want to Conquer the World,5,0
370,Fuck You,5,0
379,Let Them Eat War,5,0
380,God s Love,5,0
381,Los Angeles Is Burning,5,0
382,Let Them Eat War,5,0
383,Los Angeles Is Burning,5,0
384,Let Them Eat War,5,0
385,God s Love,5,0
386,Los Angeles Is Burning,5,0
387,Let Them Eat War,5,0
388,Los Angeles Is Burning,5,0
389,Let Them Eat War,5,0
390,God s Love,5,0
391,To Another Abyss,5,0
392,The Quickening,5,0
393,The Empire Strikes First,5,0
394,Beyond Electric Dreams,5,0
395,Boot Stamping on a Human Face Forever,4,0
396,Live Again (The Fall of Man),5,0
397,Overture,5,0
398,Sinister Rouge,4,0
399,Social Suicide,5,0
400,Atheist Peace,5,0
401,All There Is,5,0
402,Los Angeles Is Burning,5,0
403,Let Them Eat War,5,0
404,Hookah,4,0
405,Hookah,4,0
406,Hookah,4,0
407,Zorra - Remix,3,0
408,Blin Blin,3,0
410,Overture,5,0
411,Sinister Rouge,4,0
412,Social Suicide,5,0
413,Atheist Peace,5,0
414,All There Is,5,0
415,Los Angeles Is Burning,5,0
416,Los Angeles Is Burning,5,0
420,The Quickening,5,0
423,The Empire Strikes First,5,0
428,Let Them Eat War,5,0
431,Let Them Eat War,5,0
432,God s Love,5,0
433,Clarity,4,0
434,Without Prejudice,4,0
435,Yellow Teeth,4,0
436,Plato s Tripartite,2,0
437,A Life Embossed,4,0
439,Underbite,4,0
440,Animal Bones,2,0
441,Skies,4,0
443,Drumhead Trial,4,0
444,Los Angeles Is Burning,5,0
452,Live Again (The Fall of Man),5,0
479,Mist,4,0
480,Underbite,4,0
482,Skies,4,0
483,Clarity,4,0
484,Drumhead Trial,4,0
485,Los Angeles Is Burning,5,0
486,Let Them Eat War,5,0
487,God s Love,5,0
488,To Another Abyss,5,0
489,The Quickening,5,0
491,Beyond Electric Dreams,5,0
492,Boot Stamping on a Human Face Forever,4,0
493,Live Again (The Fall of Man),5,0
495,Sinister Rouge,4,0
496,Social Suicide,5,0
497,Atheist Peace,5,0
498,All There Is,5,0
500,Clarity,4,0
501,No Rest,4,0
502,Born and Raised,4,0
503,Born and Raised,4,0
504,No Rest,4,0
505,Born and Raised,4,0
537,The Northern,4,0
557,Emerald Street,4,0
564,Los Angeles Is Burning,5,0
565,Let Them Eat War,5,0
568,The Quickening,5,0
569,The Empire Strikes First,5,0
571,Boot Stamping on a Human Face Forever,4,0
573,To Another Abyss,5,0
574,The Quickening,5,0
575,The Empire Strikes First,5,0
576,Beyond Electric Dreams,5,0
577,Boot Stamping on a Human Face Forever,4,0
578,Live Again (The Fall of Man),5,0
579,Overture,5,0
582,Atheist Peace,5,0
596,Los Angeles Is Burning,5,0
597,Let Them Eat War,5,0
599,To Another Abyss,5,0
602,Beyond Electric Dreams,5,0
604,Live Again (The Fall of Man),5,0
606,Sinister Rouge,4,0
611,Let Them Eat War,5,0
613,To Another Abyss,5,0
614,The Quickening,5,0
616,Beyond Electric Dreams,5,0
622,The Northern,4,0
626,No Rest,4,0
627,The Northern,4,0
629,Emerald Street,4,0
630,Heading for the Sun,2,0
631,Accept Crime,4,0
637,Born and Raised,4,0
639,The Northern,4,0
640,Midnight Regulations,4,0
651,The Quickening,5,0
653,Beyond Electric Dreams,5,0
663,Accept Crime,4,0
664,Burial,4,0
670,Becoming the Bull,4,0
674,Red Hatchet,4,0
675,We ve Got A Situation Here,4,0
678,Hooray For Me,5,0
686,Drunkship Of Lanterns,5,0
690,Evil s My Friend,5,0
691,Get Up,5,0
695,Karmakaze,1,0
697,Clarity,4,0
699,Anthem of Our Dying Day,4,0
701,Becoming the Bull,4,0
706,We ve Got A Situation Here,4,0
708,Hooray For Me,5,0
720,How You Feel,4,0
722,Anthem of Our Dying Day,4,0
723,Becoming the Bull,4,0
725,Anthem of Our Dying Day,4,0
726,Becoming the Bull,4,0
730,Stand Up,4,0
731,We ve Got A Situation Here,4,0
733,Hooray For Me,5,0
736,When Your Heart Stops Beating,5,0
756,Born and Raised,4,0
759,Red Hatchet,4,0
760,Salt of the Earth,4,0
761,Bulls In The Bronx,5,0
762,Stand Up,4,0
763,We ve Got A Situation Here,4,0
764,I m Destroying The World,5,0
765,Hooray For Me,5,0
770,Black Eye,4,0
776,Battery Check,4,0
778,Afghan,4,0
780,Home From Home,3,0
781,Man Or Mouse,4,0
782,Fingers Crossed,5,0
783,Black Eye,4,0
784,Montego,3,0
785,Punk Rock Rebel,3,0
786,Kemp,5,0
787,Anthem of Our Dying Day,4,0
788,Becoming the Bull,4,0
789,Red Hatchet,4,0
790,Salt of the Earth,4,0
791,Bulls In The Bronx,5,0
792,Stand Up,4,0
793,We ve Got A Situation Here,4,0
795,Hooray For Me,5,0
809,All Outta Angst,5,0
815,The Getaway,5,0
820,Born and Raised,4,0
821,Anthem of Our Dying Day,4,0
822,Becoming the Bull,4,0
830,Drunkship Of Lanterns,5,0
834,Stood A Chance,5,0
835,All Outta Angst,5,0
839,Where I m Going,5,0
843,Anthem of Our Dying Day,4,0
848,Clarity,4,0
852,Red Hatchet,4,0
854,Bulls In The Bronx,5,0
856,We ve Got A Situation Here,4,0
859,Hooray For Me,5,0
860,Saturday Love,5,0
862,When Your Heart Stops Beating,5,0
864,California Babylon,5,0
865,D.J. D.J.,5,0
866,Anthem of Our Dying Day,4,0
868,Red Hatchet,4,0
869,Salt of the Earth,4,0
870,Bulls In The Bronx,5,0
871,Stand Up,4,0
872,We ve Got A Situation Here,4,0
874,Hooray For Me,5,0
876,Something I Call Personality,5,0
878,Everything s Magic,5,0
879,California Babylon,5,0
881,Drunkship Of Lanterns,5,0
882,Inertiatic Esp,5,0
883,Sink Into Me,5,0
887,Get Up,5,0
888,California Babylon,5,0
889,D.J. D.J.,5,0
898,Born and Raised,4,0
904,Red Hatchet,4,0
905,Salt of the Earth,4,0
908,Red Hatchet,4,0
909,Anthem of Our Dying Day,4,0
914,Drunkship Of Lanterns,5,0
915,Sink Into Me,5,0
916,Tidal Wave,5,0
918,All Outta Angst,5,0
919,Get Up,5,0
924,The Getaway,5,0
928,The Ride,4,0
929,Clarity,4,0
930,Born and Raised,4,0
931,Anthem of Our Dying Day,4,0
932,Becoming the Bull,4,0
933,Becoming the Bull,4,0
934,Anthem of Our Dying Day,4,0
935,Becoming the Bull,4,0
936,Red Hatchet,4,0
937,Salt of the Earth,4,0
938,California Babylon,5,0
939,D.J. D.J.,5,0
940,Drunkship Of Lanterns,5,0
941,D.J. D.J.,5,0
945,The Ride,4,0
947,Born and Raised,4,0
948,Anthem of Our Dying Day,4,0
949,Becoming the Bull,4,0
950,Red Hatchet,4,0
951,Red Hatchet,4,0
952,Bulls In The Bronx,5,0
953,Salt of the Earth,4,0
955,Dirty Magic,5,0
956,OC Guns,5,0
957,Dirty Magic,5,0
958,The Ride,4,0
959,California Babylon,5,0
960,D.J. D.J.,5,0
961,California Babylon,5,0
962,D.J. D.J.,5,0
963,California Babylon,5,0
964,D.J. D.J.,5,0
965,The Ride,4,0
966,Clarity,4,0
967,Born and Raised,4,0
968,Anthem of Our Dying Day,4,0
969,Becoming the Bull,4,0
970,Red Hatchet,4,0
971,Salt of the Earth,4,0
972,Bulls In The Bronx,5,0
973,Stand Up,4,0
975,I m Destroying The World,5,0
976,Hooray For Me,5,0
977,Saturday Love,5,0
979,When Your Heart Stops Beating,5,0
980,Everything s Magic,5,0
981,California Babylon,5,0
983,Drunkship Of Lanterns,5,0
984,Inertiatic Esp,5,0
985,Maricón,4,0
987,Cómeme el Coño,4,0
988,Maricón,4,0
989,Cómeme el Coño,4,0
990,California Babylon,5,0
991,D.J. D.J.,5,0
992,Drunkship Of Lanterns,5,0
1007,Inertiatic Esp,5,0
1008,Sink Into Me,5,0
1010,Stood A Chance,5,0
1016,Charlie s Inferno,4,0
1020,Into Action,5,0
1021,The Ride,4,0
1022,OC Guns,5,0
1024,OC Guns,5,0
1026,The Ride,4,0
1027,OC Guns,5,0
1029,Clarity,4,0
1030,Born and Raised,4,0
1032,Becoming the Bull,4,0
1035,We ve Got A Situation Here,4,0
1041,Stand Up,4,0
1044,Red Hatchet,4,0
1045,I m Destroying The World,5,0
1047,D.J. D.J.,5,0
1048,Drunkship Of Lanterns,5,0
1050,California Babylon,5,0
1052,Drunkship Of Lanterns,5,0
1053,Inertiatic Esp,5,0
1055,D.J. D.J.,5,0
1056,Drunkship Of Lanterns,5,0
1057,OC Guns,5,0
1059,The Ride,4,0
1061,California Babylon,5,0
1062,D.J. D.J.,5,0
1064,D.J. D.J.,5,0
1066,Inertiatic Esp,5,0
1067,Sink Into Me,5,0
1069,Stood A Chance,5,0
1070,All Outta Angst,5,0
1071,Get Up,5,0
1072,Evil s My Friend,5,0
1073,Sometimes I Don t Mind,5,0
1074,Where I m Going,5,0
1075,Charlie s Inferno,4,0
1078,The Getaway,5,0
1079,Up All Night,5,0
1084,Clarity,4,0
1086,The Ride,4,0
1088,Clarity,4,0
1089,Born and Raised,4,0
1090,Anthem of Our Dying Day,4,0
1091,Becoming the Bull,4,0
1092,Red Hatchet,4,0
1093,Salt of the Earth,4,0
1095,Cómeme el Coño,4,0
1096,Hookah,4,0
1099,Hookah,4,0
1100,Hookah,4,0
1101,Hookah,4,0
1104,Hookah,4,0
1106,Hookah,4,0
1108,California Babylon,5,0
1110,Drunkship Of Lanterns,5,0
1111,D.J. D.J.,5,0
1112,Inertiatic Esp,5,0
1113,Drunkship Of Lanterns,5,0
1115,Tidal Wave,5,0
1116,Stood A Chance,5,0
1119,Sometimes I Don t Mind,5,0
1122,Charlie s Inferno,4,0
1125,Sid and Nancy,5,0
1127,Oxy Moronic,5,0
1128,I Don t Like Me Anymore,5,0
1129,I m a Transvest-Lite,5,0
1131,Dead Beat Mom,5,0
1132,Bye Bye Biopsy Girl,4,0
1133,It Ain t Lonely at the Bottom,4,0
1134,I m so Sorry Tony,4,0
1135,Generation Z,5,0
1136,Generation Z,5,0
1137,Happy Father s Day (Commentary),3,0
1138,Six Years on Dope (Commentary),4,0
1141,Six Years on Dope,5,0
1143,Sid and Nancy,5,0
1144,California Drought,5,0
1145,Oxy Moronic,5,0
1146,I Don t Like Me Anymore,5,0
1147,I m a Transvest-Lite,5,0
1149,Dead Beat Mom,5,0
1160,Suburban Home,5,0
1164,D.J. D.J.,5,0
1165,Diamonds And Guns,5,0
1167,Diamonds And Guns,5,0
1170,Sad But True,4,0
1173,California Babylon,5,0
1174,We Trusted You,4,0
1175,D.R.E.A.M.,4,0
1176,Down In Oakland,4,0
1179,D.J. D.J.,5,0
1181,Quick Death,4,0
1183,Weigh On My Mind,4,0
1184,One Seventeen,4,0
1185,One Seventeen,4,0
1186,California Babylon,5,0
1187,We Trusted You,4,0
1188,D.R.E.A.M.,4,0
1191,We Trusted You,4,0
1192,D.R.E.A.M.,4,0
1194,Romper Stomper,4,0
1199,Sad But True,4,0
1205,California Babylon,5,0
1209,California Babylon,5,0
1211,Fuck You,5,0
1212,Classics Of Love,4,0
1213,Euro-Barge,4,0
1214,I Want It All,4,0
1215,Maricón,4,0
1216,Cómeme el Coño,4,0
1217,Dulce y Bautizada,4,0
1218,Hazme el Favor (vente conmigo a bailar),2,0
1219,D.J. D.J.,5,0
1221,Quick Death,4,0
1222,D.J. D.J.,5,0
1223,Diamonds And Guns,5,0
1225,Sad But True,4,0
1227,Sometimes I Don t Mind,5,0
1228,Evil s My Friend,5,0
1229,Where I m Going,5,0
1230,Charlie s Inferno,4,0
1232,Up All Night,5,0
1235,OC Guns,5,0
1236,Up All Night,5,0
1239,All I Have Left Is You,5,0
1241,OC Guns,5,0
1243,I Wanna Secret Family (With You),4,0
1248,The Ride,4,0
1250,Anthem of Our Dying Day,4,0
1262,Saturday Love,5,0
1277,Red Hatchet,4,0
1292,Sink Into Me,5,0
1294,Sometimes I Don t Mind,5,0
1303,Clarity,4,0
1304,Born and Raised,4,0
1305,Anthem of Our Dying Day,4,0
1309,OC Guns,5,0
1310,OC Guns,5,0
1311,The Ride,4,0
1312,Clarity,4,0
1313,California Babylon,5,0
1314,D.J. D.J.,5,0
1316,Inertiatic Esp,5,0
1387,Sink Into Me,5,0
1391,All Outta Angst,5,0
1394,Evil s My Friend,5,0
1396,Charlie s Inferno,4,0
1397,The Getaway,5,0
1398,The Getaway,5,0
1399,Up All Night,5,0
1401,Into Action,5,0
1402,OC Guns,5,0
1403,The Ride,4,0
1404,Clarity,4,0
1405,Born and Raised,4,0
1406,Anthem of Our Dying Day,4,0
1407,Becoming the Bull,4,0
1408,Red Hatchet,4,0
1409,Salt of the Earth,4,0
1410,Salt of the Earth,4,0
1411,Bulls In The Bronx,5,0
1412,Stand Up,4,0
1413,We ve Got A Situation Here,4,0
1414,I m Destroying The World,5,0
1415,Hooray For Me,5,0
1416,Saturday Love,5,0
1417,Something I Call Personality,5,0
1418,When Your Heart Stops Beating,5,0
1419,Everything s Magic,5,0
1420,California Babylon,5,0
1421,D.J. D.J.,5,0
1422,Drunkship Of Lanterns,5,0
1423,Inertiatic Esp,5,0
1424,Sink Into Me,5,0
1425,Tidal Wave,5,0
1426,Stood A Chance,5,0
1427,All Outta Angst,5,0
1429,Sometimes I Don t Mind,5,0
1430,Evil s My Friend,5,0
1431,Where I m Going,5,0
1432,Charlie s Inferno,4,0
1434,Up All Night,5,0
1435,Fingers Crossed,5,0
1436,Into Action,5,0
1437,OC Guns,5,0
1438,The Ride,4,0
1439,Clarity,4,0
1440,Anthem of Our Dying Day,4,0
1441,Born and Raised,4,0
1442,Six Years on Dope,5,0
1443,Happy Father s Day,5,0
1444,Sid and Nancy,5,0
1445,California Drought,5,0
1446,Oxy Moronic,5,0
1447,I Don t Like Me Anymore,5,0
1448,Old Crows,2,0
1449,Young Cardinals,4,0
1450,Sons of Privilege,4,0
1451,Sons of Privilege,4,0
1453,No Rest,4,0
1455,Charlie s Inferno,4,0
1456,The Getaway,5,0
1457,Up All Night,5,0
1458,Fingers Crossed,5,0
1459,Into Action,5,0
1460,OC Guns,5,0
1461,The Ride,4,0
1462,Clarity,4,0
1465,Becoming the Bull,4,0
1468,Bulls In The Bronx,5,0
1469,Stood A Chance,5,0
1480,Evil s My Friend,5,0
1482,Get Up,5,0
1485,Salt of the Earth,4,0
1490,Sometimes I Don t Mind,5,0
1495,Red Hatchet,4,0
1498,Charlie s Inferno,4,0
1499,The Getaway,5,0
1500,Up All Night,5,0
1501,Fingers Crossed,5,0
1502,Into Action,5,0
1505,Clarity,4,0
1506,Born and Raised,4,0
1509,Los Angeles Is Burning,5,0
1510,Let Them Eat War,5,0
1511,God s Love,5,0
1513,To Another Abyss,5,0
1515,21st Century (Digital Boy),5,0
1517,Infected,5,0
1518,You,5,0
1519,21st Century (Digital Boy),5,0
1522,Handjobs for Jesus,3,0
1526,D.J. D.J.,5,0
1527,Diamonds And Guns,5,0
1528,Quick Death,4,0
1531,One Seventeen,4,0
1532,California Babylon,5,0
1534,D.R.E.A.M.,4,0
1536,Romper Stomper,4,0
1539,Diamonds And Guns,5,0
1540,Quick Death,4,0
1542,Happy Father s Day,5,0
1544,California Drought,5,0
1545,Oxy Moronic,5,0
1547,Better Off Today,5,0
1548,Use A Bee,5,0
1549,Ketty,5,0
1550,Hero Of Our Time,5,0
1560,... And The Cheese Fell Down,5,0
1561,Better Off Today,5,0
1562,Use A Bee,5,0
1565,Hero Of Our Time,5,0
1568,Armless Skater,5,0
1572,Good Morning,5,0
1575,You,5,0
1577,Infected,5,0
1578,Fuck You,5,0
1579,Dharma and the Bomb,4,0
1581,Vanity,4,0
1583,Crisis Time,4,0
1584,Dept. of False Hope,5,0
1586,Popular Consensus,4,0
1588,The Island,4,0
1589,Changing Tide,4,0
1591,Past is Dead,4,0
1592,Robin Hood in Reverse,4,0
1593,Land of Endless Greed,4,0
1594,Fuck You,5,0
1595,Dharma and the Bomb,4,0
1596,Hello Cruel World,4,0
1597,Vanity,4,0
1599,Crisis Time,4,0
1600,Dept. of False Hope,5,0
1601,Nothing To Dismay,4,0
1602,Popular Consensus,4,0
1603,My Head is Full of Ghosts,4,0
1605,Changing Tide,4,0
1607,Past is Dead,4,0
1608,Robin Hood in Reverse,4,0
1609,Land of Endless Greed,4,0
1610,Fuck You,5,0
1612,Hello Cruel World,4,0
1613,Vanity,4,0
1618,Popular Consensus,4,0
1619,My Head is Full of Ghosts,4,0
1621,Changing Tide,4,0
1622,True North,4,0
1624,Robin Hood in Reverse,4,0
1626,Fuck You,5,0
1628,Hello Cruel World,4,0
1629,Vanity,4,0
1630,In Their Hearts is Right,4,0
1632,Dept. of False Hope,5,0
1633,Nothing To Dismay,4,0
1634,Charlie s Inferno,4,0
1636,Up All Night,5,0
1637,Fingers Crossed,5,0
1655,Charlie s Inferno,4,0
1658,Up All Night,5,0
1662,The Boys of Summer,5,0
1670,Gravemakers & Gunslingers,4,0
1673,The Boys of Summer,5,0
1674,Charlie s Inferno,4,0
1675,The Getaway,5,0
1676,Up All Night,5,0
1677,The Getaway,5,0
1678,Charlie s Inferno,4,0
1679,The Getaway,5,0
1681,Fingers Crossed,5,0
1682,Into Action,5,0
1683,OC Guns,5,0
1684,The Middle,5,0
1685,The Boys of Summer,5,0
1686,Prayer Of The Refugee,5,0
1687,Ocean Avenue,5,0
1688,Take Me Back,4,0
1689,Reinventing Your Exit,4,0
1690,The Taste of Ink,4,0
1691,A Favor House Atlantic,4,0
1692,Gravemakers & Gunslingers,4,0
1693,Sixteen,4,0
1694,The Ride,4,0
1695,Clarity,4,0
1696,OC Guns,5,0
1697,The Middle,5,0
1698,The Boys of Summer,5,0
1699,Prayer Of The Refugee,5,0
1700,Ocean Avenue,5,0
1701,Take Me Back,4,0
1702,Take Me Back,4,0
1703,Reinventing Your Exit,4,0
1704,The Taste of Ink,4,0
1705,A Favor House Atlantic,4,0
1706,Gravemakers & Gunslingers,4,0
1707,Sixteen,4,0
1710,Born and Raised,4,0
1711,Anthem of Our Dying Day,4,0
1712,Becoming the Bull,4,0
1715,Bulls In The Bronx,5,0
1717,Red Hatchet,4,0
1718,Charlie s Inferno,4,0
1720,Up All Night,5,0
1733,Sixteen,4,0
1735,Clarity,4,0
1737,When Your Heart Stops Beating,5,0
1740,D.J. D.J.,5,0
1741,Drunkship Of Lanterns,5,0
1742,Inertiatic Esp,5,0
1744,Tidal Wave,5,0
1745,Stood A Chance,5,0
1746,All Outta Angst,5,0
1747,Get Up,5,0
1748,Sometimes I Don t Mind,5,0
1749,Where I m Going,5,0
1750,Charlie s Inferno,4,0
1751,The Getaway,5,0
1752,Up All Night,5,0
1753,Fingers Crossed,5,0
1755,OC Guns,5,0
1756,The Middle,5,0
1757,The Boys of Summer,5,0
1758,Prayer Of The Refugee,5,0
1759,Ocean Avenue,5,0
1760,Take Me Back,4,0
1761,Reinventing Your Exit,4,0
1762,The Taste of Ink,4,0
1763,A Favor House Atlantic,4,0
1765,Sixteen,4,0
1766,The Ride,4,0
1767,Charlie s Inferno,4,0
1768,The Getaway,5,0
1769,Up All Night,5,0
1770,Up All Night,5,0
1773,OC Guns,5,0
1775,The Boys of Summer,5,0
1776,Prayer Of The Refugee,5,0
1777,Ocean Avenue,5,0
1778,Take Me Back,4,0
1779,Reinventing Your Exit,4,0
1780,The Taste of Ink,4,0
1781,A Favor House Atlantic,4,0
1782,Gravemakers & Gunslingers,4,0
1784,The Ride,4,0
1786,Everything s Magic,5,0
1787,Inertiatic Esp,5,0
1792,Inertiatic Esp,5,0
1798,Sometimes I Don t Mind,5,0
1802,The Getaway,5,0
1804,Fingers Crossed,5,0
1807,The Middle,5,0
1808,The Boys of Summer,5,0
1809,Prayer Of The Refugee,5,0
1810,Ocean Avenue,5,0
1811,OC Guns,5,0
1812,The Middle,5,0
1813,The Boys of Summer,5,0
1815,Ocean Avenue,5,0
1816,The Boys of Summer,5,0
1817,The Middle,5,0
1819,Born and Raised,4,0
1820,Anthem of Our Dying Day,4,0
1823,Salt of the Earth,4,0
1825,Salt of the Earth,4,0
1827,The Kids Aren t Alright,4,0
1828,Self Esteem,5,0
1830,Why Don t You Get A Job,5,0
1833,Let The Bad Times Roll,4,0
1835,Want You Bad,4,0
1836,Gone Away - 1997,5,0
1837,Gone Away - 1997,5,0
1838,Original Prankster,3,0
1839,The Future Is Now,5,0
1841,Days Go By,5,0
1842,Turning Into You,4,0
1843,Hurting As One,4,0
1845,All I Have Left Is You,5,0
1846,OC Guns,5,0
1848,I Wanna Secret Family (With You),4,0
1849,Dividing By Zero,4,0
1850,Slim Pickens Does The Right Thing And Rides The Bomb To Hell,4,0
1851,The Future Is Now,5,0
1852,Secrets From The Underground,4,0
1853,Days Go By,5,0
